order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,259,4,2016-1-1,2016-1-3,2016-1-3,1,2
2,1212,4,2016-1-1,2016-1-4,2016-1-3,2,6
3,523,4,2016-1-2,2016-1-5,2016-1-3,2,7
4,175,4,2016-1-3,2016-1-4,2016-1-5,1,3
5,1324,4,2016-1-3,2016-1-6,2016-1-6,2,6
6,94,4,2016-1-4,2016-1-7,2016-1-5,2,6
7,324,4,2016-1-4,2016-1-7,2016-1-5,2,6
8,1204,4,2016-1-4,2016-1-5,2016-1-5,2,7
9,60,4,2016-1-5,2016-1-8,2016-1-8,1,2
10,442,4,2016-1-5,2016-1-6,2016-1-6,2,6
11,1326,4,2016-1-5,2016-1-8,2016-1-7,2,7
12,91,4,2016-1-6,2016-1-8,2016-1-9,1,2
13,873,4,2016-1-8,2016-1-11,2016-1-11,2,6
14,258,4,2016-1-9,2016-1-11,2016-1-12,1,3
15,450,4,2016-1-9,2016-1-10,2016-1-12,2,7
16,552,4,2016-1-12,2016-1-15,2016-1-15,1,3
17,1175,4,2016-1-12,2016-1-14,2016-1-14,1,3
18,541,4,2016-1-14,2016-1-17,2016-1-15,1,3
19,696,4,2016-1-14,2016-1-17,2016-1-16,1,2
20,923,4,2016-1-14,2016-1-16,2016-1-17,1,2
21,1250,4,2016-1-15,2016-1-16,2016-1-18,2,6
22,1035,4,2016-1-16,2016-1-18,2016-1-17,1,2
23,1149,4,2016-1-16,2016-1-19,2016-1-19,1,2
24,636,4,2016-1-18,2016-1-20,2016-1-19,2,7
25,657,4,2016-1-18,2016-1-21,2016-1-21,2,6
26,1280,4,2016-1-18,2016-1-21,2016-1-19,2,7
27,57,4,2016-1-19,2016-1-21,2016-1-20,2,7
28,252,4,2016-1-19,2016-1-20,2016-1-21,2,6
29,437,4,2016-1-20,2016-1-22,2016-1-21,2,6
30,1348,4,2016-1-20,2016-1-21,2016-1-21,2,6
31,1238,4,2016-1-20,2016-1-22,2016-1-22,3,8
32,1259,4,2016-1-21,2016-1-24,2016-1-22,1,3
33,236,4,2016-1-21,2016-1-22,2016-1-22,2,6
34,80,4,2016-1-22,2016-1-25,2016-1-23,2,6
35,813,4,2016-1-22,2016-1-25,2016-1-24,2,7
36,1321,4,2016-1-23,2016-1-24,2016-1-24,2,6
37,164,4,2016-1-25,2016-1-28,2016-1-26,2,6
38,583,4,2016-1-25,2016-1-27,2016-1-26,2,7
39,1296,4,2016-1-25,2016-1-26,2016-1-26,2,7
40,348,4,2016-1-27,2016-1-28,2016-1-29,1,3
41,979,4,2016-1-27,2016-1-30,2016-1-29,2,6
42,1095,4,2016-1-27,2016-1-28,2016-1-30,2,7
43,1434,4,2016-1-27,2016-1-28,2016-1-30,2,7
44,861,4,2016-1-28,2016-1-31,2016-1-30,2,7
45,1220,4,2016-1-28,2016-1-31,2016-1-31,2,7
46,746,4,2016-1-29,2016-1-31,2016-1-31,2,7
47,1234,4,2016-1-29,2016-1-30,2016-1-31,2,7
48,1012,4,2016-1-30,2016-2-1,2016-2-2,2,7
49,608,4,2016-1-31,2016-2-1,2016-2-2,2,6
50,872,4,2016-1-31,2016-2-3,2016-2-2,3,8
51,1047,4,2016-2-1,2016-2-2,2016-2-3,2,7
52,767,4,2016-2-3,2016-2-4,2016-2-5,1,2
53,965,4,2016-2-3,2016-2-4,2016-2-5,2,6
54,535,4,2016-2-4,2016-2-7,2016-2-7,2,7
55,1173,4,2016-2-4,2016-2-7,2016-2-6,2,6
56,1241,4,2016-2-4,2016-2-6,2016-2-7,2,6
57,1305,4,2016-2-4,2016-2-6,2016-2-6,2,7
58,504,4,2016-2-5,2016-2-7,2016-2-7,2,6
59,563,4,2016-2-5,2016-2-7,2016-2-6,2,7
60,151,4,2016-2-6,2016-2-8,2016-2-7,1,3
61,277,4,2016-2-6,2016-2-9,2016-2-9,2,7
62,208,4,2016-2-7,2016-2-10,2016-2-10,1,2
63,1075,4,2016-2-7,2016-2-9,2016-2-9,2,7
64,1185,4,2016-2-7,2016-2-8,2016-2-9,2,6
65,996,4,2016-2-8,2016-2-9,2016-2-11,2,6
66,1253,4,2016-2-9,2016-2-12,2016-2-12,2,7
67,526,4,2016-2-9,2016-2-11,2016-2-10,3,8
68,381,4,2016-2-10,2016-2-11,2016-2-13,2,6
69,1413,4,2016-2-10,2016-2-12,2016-2-11,2,7
70,50,3,2016-2-11,2016-2-11,NULL,3,9
71,797,4,2016-2-11,2016-2-14,2016-2-12,2,7
72,1386,4,2016-2-12,2016-2-15,2016-2-13,1,2
73,612,4,2016-2-12,2016-2-15,2016-2-14,2,7
74,264,4,2016-2-13,2016-2-15,2016-2-15,2,7
75,587,4,2016-2-14,2016-2-15,2016-2-17,2,6
76,9,3,2016-2-16,2016-2-16,NULL,2,6
77,385,4,2016-2-16,2016-2-19,2016-2-19,1,2
78,1182,4,2016-2-16,2016-2-18,2016-2-19,2,7
79,529,4,2016-2-17,2016-2-20,2016-2-20,1,3
80,397,4,2016-2-17,2016-2-20,2016-2-19,2,6
81,521,4,2016-2-17,2016-2-19,2016-2-18,2,6
82,1223,4,2016-2-18,2016-2-21,2016-2-20,2,6
83,393,4,2016-2-19,2016-2-20,2016-2-20,1,3
84,317,4,2016-2-20,2016-2-22,2016-2-21,2,7
85,1174,4,2016-2-20,2016-2-23,2016-2-21,2,7
86,276,4,2016-2-21,2016-2-22,2016-2-23,2,7
87,516,4,2016-2-21,2016-2-22,2016-2-23,2,6
88,1069,4,2016-2-21,2016-2-22,2016-2-23,2,6
89,668,4,2016-2-21,2016-2-24,2016-2-24,3,8
90,414,4,2016-2-23,2016-2-25,2016-2-24,2,7
91,648,4,2016-2-25,2016-2-27,2016-2-28,1,2
92,1309,4,2016-2-25,2016-2-28,2016-2-28,2,7
93,1328,4,2016-2-26,2016-2-28,2016-2-27,1,3
94,929,4,2016-2-27,2016-2-28,2016-2-29,1,2
95,218,4,2016-2-27,2016-2-29,2016-2-28,2,7
96,1094,4,2016-2-27,2016-2-29,2016-2-28,2,7
97,204,4,2016-2-28,2016-2-29,2016-3-1,2,7
98,1194,4,2016-2-28,2016-2-29,2016-2-29,2,6
99,1165,4,2016-2-29,2016-3-1,2016-3-3,3,9
100,1237,4,2016-3-1,2016-3-4,2016-3-3,2,7
101,271,4,2016-3-1,2016-3-4,2016-3-4,3,8
102,336,4,2016-3-2,2016-3-5,2016-3-3,2,7
103,991,4,2016-3-3,2016-3-6,2016-3-5,1,2
104,7,4,2016-3-3,2016-3-5,2016-3-5,2,7
105,306,4,2016-3-3,2016-3-5,2016-3-4,2,7
106,422,4,2016-3-4,2016-3-5,2016-3-5,3,9
107,633,4,2016-3-6,2016-3-9,2016-3-9,1,2
108,12,4,2016-3-6,2016-3-9,2016-3-7,2,6
109,1255,4,2016-3-6,2016-3-9,2016-3-9,2,6
110,677,4,2016-3-6,2016-3-8,2016-3-9,3,9
111,630,4,2016-3-7,2016-3-10,2016-3-10,2,6
112,469,4,2016-3-8,2016-3-11,2016-3-10,2,6
113,1078,4,2016-3-8,2016-3-11,2016-3-11,2,6
114,1431,4,2016-3-8,2016-3-10,2016-3-11,2,7
115,1369,4,2016-3-9,2016-3-11,2016-3-11,2,7
116,471,4,2016-3-10,2016-3-11,2016-3-11,2,7
117,740,4,2016-3-10,2016-3-13,2016-3-11,2,6
118,577,4,2016-3-12,2016-3-14,2016-3-13,1,2
119,925,4,2016-3-12,2016-3-14,2016-3-14,2,7
120,327,4,2016-3-14,2016-3-15,2016-3-17,2,7
121,755,4,2016-3-14,2016-3-15,2016-3-16,2,6
122,786,4,2016-3-14,2016-3-16,2016-3-15,2,6
123,766,4,2016-3-15,2016-3-18,2016-3-17,2,6
124,403,4,2016-3-16,2016-3-18,2016-3-17,1,3
125,685,4,2016-3-16,2016-3-19,2016-3-17,2,6
126,1365,4,2016-3-16,2016-3-18,2016-3-18,2,7
127,484,4,2016-3-17,2016-3-18,2016-3-19,3,8
128,86,4,2016-3-18,2016-3-20,2016-3-21,2,6
129,84,4,2016-3-19,2016-3-21,2016-3-21,2,7
130,1049,4,2016-3-19,2016-3-22,2016-3-20,2,6
131,316,4,2016-3-19,2016-3-22,2016-3-20,3,8
132,46,4,2016-3-20,2016-3-22,2016-3-23,1,3
133,409,4,2016-3-20,2016-3-22,2016-3-21,2,7
134,679,4,2016-3-20,2016-3-21,2016-3-21,2,7
135,1354,4,2016-3-21,2016-3-23,2016-3-23,2,7
136,1192,4,2016-3-21,2016-3-24,2016-3-23,3,8
137,370,4,2016-3-23,2016-3-26,2016-3-25,2,7
138,438,4,2016-3-23,2016-3-24,2016-3-25,2,7
139,710,4,2016-3-23,2016-3-24,2016-3-26,2,7
140,1264,4,2016-3-23,2016-3-26,2016-3-26,2,7
141,557,4,2016-3-25,2016-3-27,2016-3-26,2,7
142,170,4,2016-3-26,2016-3-27,2016-3-27,1,3
143,693,4,2016-3-26,2016-3-28,2016-3-28,2,7
144,1124,4,2016-3-26,2016-3-29,2016-3-29,2,7
145,366,4,2016-3-27,2016-3-29,2016-3-30,2,6
146,288,4,2016-3-28,2016-3-30,2016-3-30,1,3
147,55,4,2016-3-28,2016-3-31,2016-3-31,2,7
148,714,4,2016-3-28,2016-3-30,2016-3-30,2,6
149,763,4,2016-3-28,2016-3-30,2016-3-29,2,6
150,332,4,2016-3-29,2016-3-31,2016-4-1,1,2
151,926,4,2016-3-29,2016-4-1,2016-3-31,1,2
152,76,4,2016-3-29,2016-3-30,2016-3-30,2,6
153,498,4,2016-3-30,2016-4-2,2016-4-1,2,6
154,1286,4,2016-3-31,2016-4-1,2016-4-1,1,2
155,371,4,2016-4-2,2016-4-3,2016-4-4,2,6
156,357,4,2016-4-3,2016-4-6,2016-4-5,1,3
157,43,4,2016-4-3,2016-4-6,2016-4-6,3,8
158,117,3,2016-4-4,2016-4-4,NULL,3,9
159,32,4,2016-4-4,2016-4-6,2016-4-6,1,2
160,205,4,2016-4-4,2016-4-6,2016-4-6,2,7
161,251,4,2016-4-4,2016-4-7,2016-4-5,2,7
162,31,4,2016-4-6,2016-4-8,2016-4-7,1,3
163,1325,4,2016-4-6,2016-4-7,2016-4-7,2,7
164,610,4,2016-4-7,2016-4-8,2016-4-9,2,7
165,574,4,2016-4-8,2016-4-10,2016-4-10,1,3
166,338,4,2016-4-8,2016-4-11,2016-4-11,2,6
167,1034,4,2016-4-8,2016-4-9,2016-4-11,2,7
168,1147,4,2016-4-9,2016-4-12,2016-4-11,1,3
169,99,4,2016-4-10,2016-4-11,2016-4-11,2,7
170,1200,4,2016-4-10,2016-4-11,2016-4-13,2,7
171,237,4,2016-4-11,2016-4-14,2016-4-14,1,3
172,1079,4,2016-4-11,2016-4-12,2016-4-14,2,7
173,117,4,2016-4-11,2016-4-14,2016-4-13,3,8
174,1361,4,2016-4-12,2016-4-13,2016-4-15,2,7
175,951,4,2016-4-13,2016-4-14,2016-4-14,2,6
176,643,4,2016-4-15,2016-4-16,2016-4-17,2,7
177,121,4,2016-4-16,2016-4-19,2016-4-19,1,2
178,756,4,2016-4-16,2016-4-17,2016-4-18,2,6
179,616,4,2016-4-17,2016-4-19,2016-4-19,2,6
180,918,4,2016-4-17,2016-4-20,2016-4-19,2,7
181,459,4,2016-4-18,2016-4-20,2016-4-20,1,3
182,854,4,2016-4-18,2016-4-19,2016-4-20,2,6
183,22,4,2016-4-19,2016-4-20,2016-4-20,2,7
184,134,4,2016-4-19,2016-4-21,2016-4-22,2,7
185,24,3,2016-4-20,2016-4-20,NULL,1,2
186,1127,4,2016-4-21,2016-4-22,2016-4-24,2,6
187,183,4,2016-4-22,2016-4-23,2016-4-24,2,6
188,390,4,2016-4-22,2016-4-23,2016-4-25,2,6
189,1288,4,2016-4-23,2016-4-24,2016-4-26,1,2
190,98,4,2016-4-23,2016-4-25,2016-4-25,2,6
191,919,4,2016-4-27,2016-4-28,2016-4-28,1,2
192,728,4,2016-4-27,2016-4-28,2016-4-29,2,7
193,1366,4,2016-4-28,2016-4-30,2016-4-30,1,3
194,558,4,2016-4-28,2016-4-30,2016-5-1,2,7
195,727,4,2016-4-28,2016-5-1,2016-5-1,2,7
196,1247,4,2016-4-28,2016-4-30,2016-5-1,2,6
197,127,4,2016-4-30,2016-5-3,2016-5-3,2,7
198,640,4,2016-5-1,2016-5-4,2016-5-3,2,6
199,760,4,2016-5-1,2016-5-4,2016-5-4,2,7
200,1074,4,2016-5-1,2016-5-3,2016-5-3,2,6
201,280,4,2016-5-1,2016-5-4,2016-5-2,3,9
202,600,4,2016-5-3,2016-5-5,2016-5-4,1,2
203,1102,4,2016-5-3,2016-5-5,2016-5-6,3,9
204,591,4,2016-5-4,2016-5-7,2016-5-6,2,7
205,635,4,2016-5-4,2016-5-5,2016-5-6,2,6
206,743,4,2016-5-4,2016-5-6,2016-5-5,3,9
207,105,4,2016-5-5,2016-5-7,2016-5-7,2,7
208,815,4,2016-5-6,2016-5-7,2016-5-9,2,7
209,514,4,2016-5-7,2016-5-8,2016-5-8,2,6
210,943,4,2016-5-7,2016-5-8,2016-5-9,2,6
211,1140,4,2016-5-7,2016-5-9,2016-5-8,2,6
212,1373,4,2016-5-8,2016-5-9,2016-5-11,2,6
213,788,4,2016-5-8,2016-5-9,2016-5-9,3,8
214,363,4,2016-5-10,2016-5-12,2016-5-11,2,6
215,1420,4,2016-5-10,2016-5-13,2016-5-12,2,7
216,267,4,2016-5-11,2016-5-14,2016-5-13,1,3
217,716,4,2016-5-11,2016-5-12,2016-5-14,2,7
218,1179,4,2016-5-12,2016-5-14,2016-5-14,2,7
219,1338,4,2016-5-12,2016-5-15,2016-5-15,2,6
220,1358,4,2016-5-12,2016-5-14,2016-5-15,2,6
221,1218,4,2016-5-13,2016-5-16,2016-5-14,1,2
222,51,4,2016-5-13,2016-5-16,2016-5-14,2,6
223,1368,4,2016-5-15,2016-5-16,2016-5-17,2,7
224,157,4,2016-5-17,2016-5-18,2016-5-19,1,3
225,307,4,2016-5-17,2016-5-20,2016-5-19,1,3
226,501,4,2016-5-17,2016-5-19,2016-5-20,1,2
227,489,4,2016-5-17,2016-5-18,2016-5-20,2,7
228,615,4,2016-5-17,2016-5-20,2016-5-20,2,7
229,742,4,2016-5-19,2016-5-21,2016-5-20,2,6
230,1167,4,2016-5-19,2016-5-20,2016-5-21,2,6
231,1257,4,2016-5-19,2016-5-22,2016-5-21,2,6
232,1360,4,2016-5-20,2016-5-23,2016-5-23,1,3
233,737,4,2016-5-21,2016-5-22,2016-5-24,2,6
234,1435,4,2016-5-22,2016-5-24,2016-5-24,2,6
235,649,4,2016-5-24,2016-5-25,2016-5-25,2,6
236,206,4,2016-5-25,2016-5-27,2016-5-26,2,6
237,1351,4,2016-5-25,2016-5-26,2016-5-27,2,7
238,1350,4,2016-5-26,2016-5-29,2016-5-29,2,6
239,13,3,2016-5-27,2016-5-27,NULL,3,9
240,65,4,2016-5-27,2016-5-29,2016-5-30,2,6
241,1082,4,2016-5-27,2016-5-29,2016-5-29,2,7
242,1168,4,2016-5-27,2016-5-30,2016-5-30,2,7
243,802,4,2016-5-27,2016-5-30,2016-5-28,3,8
244,956,4,2016-5-28,2016-5-29,2016-5-29,2,6
245,223,4,2016-5-29,2016-5-31,2016-5-30,2,7
246,17,3,2016-5-30,2016-5-30,NULL,2,6
247,928,4,2016-5-30,2016-6-1,2016-6-1,1,3
248,1376,4,2016-5-30,2016-6-1,2016-5-31,2,7
249,145,4,2016-6-1,2016-6-4,2016-6-4,2,6
250,150,4,2016-6-1,2016-6-2,2016-6-4,2,7
251,851,4,2016-6-1,2016-6-4,2016-6-4,2,7
252,66,4,2016-6-1,2016-6-4,2016-6-2,3,8
253,1267,4,2016-6-2,2016-6-5,2016-6-5,2,6
254,510,4,2016-6-3,2016-6-6,2016-6-5,2,7
255,801,4,2016-6-3,2016-6-6,2016-6-5,2,7
256,26,4,2016-6-4,2016-6-5,2016-6-7,2,7
257,1314,4,2016-6-5,2016-6-6,2016-6-8,1,3
258,107,4,2016-6-6,2016-6-7,2016-6-7,2,7
259,413,4,2016-6-6,2016-6-9,2016-6-9,2,7
260,632,4,2016-6-6,2016-6-8,2016-6-8,2,6
261,1045,4,2016-6-8,2016-6-10,2016-6-9,1,2
262,579,4,2016-6-8,2016-6-11,2016-6-10,3,9
263,1322,4,2016-6-9,2016-6-10,2016-6-12,2,6
264,5,3,2016-6-10,2016-6-10,NULL,1,3
265,682,4,2016-6-10,2016-6-12,2016-6-11,2,7
266,933,4,2016-6-10,2016-6-13,2016-6-13,2,7
267,282,4,2016-6-11,2016-6-14,2016-6-14,1,3
268,540,4,2016-6-11,2016-6-14,2016-6-12,1,3
269,764,4,2016-6-12,2016-6-13,2016-6-15,2,6
270,879,4,2016-6-12,2016-6-15,2016-6-13,2,7
271,350,4,2016-6-13,2016-6-16,2016-6-14,2,7
272,497,4,2016-6-15,2016-6-18,2016-6-16,2,7
273,1340,4,2016-6-16,2016-6-19,2016-6-17,2,7
274,411,4,2016-6-17,2016-6-20,2016-6-18,2,7
275,1341,4,2016-6-17,2016-6-19,2016-6-18,2,7
276,1227,4,2016-6-18,2016-6-19,2016-6-19,2,6
277,546,4,2016-6-19,2016-6-20,2016-6-20,2,7
278,1301,4,2016-6-20,2016-6-23,2016-6-21,1,3
279,378,4,2016-6-21,2016-6-22,2016-6-22,2,6
280,638,4,2016-6-21,2016-6-22,2016-6-23,2,7
281,800,4,2016-6-21,2016-6-22,2016-6-23,2,7
282,159,4,2016-6-22,2016-6-25,2016-6-25,3,9
283,181,4,2016-6-23,2016-6-26,2016-6-26,1,2
284,1356,4,2016-6-23,2016-6-25,2016-6-25,2,7
285,319,4,2016-6-25,2016-6-26,2016-6-27,1,2
286,59,4,2016-6-25,2016-6-26,2016-6-26,2,6
287,133,4,2016-6-25,2016-6-26,2016-6-27,2,6
288,780,4,2016-6-25,2016-6-28,2016-6-28,2,6
289,849,4,2016-6-27,2016-6-28,2016-6-30,2,6
290,202,4,2016-6-28,2016-6-29,2016-6-30,2,6
291,158,4,2016-6-29,2016-6-30,2016-7-1,2,6
292,360,4,2016-6-29,2016-6-30,2016-7-2,3,9
293,573,4,2016-6-30,2016-7-3,2016-7-2,2,7
294,732,4,2016-7-1,2016-7-2,2016-7-2,2,7
295,1130,4,2016-7-1,2016-7-4,2016-7-4,2,7
296,1245,4,2016-7-4,2016-7-7,2016-7-6,2,6
297,1425,4,2016-7-4,2016-7-5,2016-7-6,2,7
298,885,4,2016-7-4,2016-7-7,2016-7-7,3,9
299,281,4,2016-7-5,2016-7-6,2016-7-7,2,6
300,1205,4,2016-7-5,2016-7-8,2016-7-8,2,6
301,17,4,2016-7-6,2016-7-9,2016-7-8,2,6
302,1375,4,2016-7-6,2016-7-7,2016-7-9,2,6
303,36,4,2016-7-7,2016-7-8,2016-7-9,2,7
304,230,4,2016-7-7,2016-7-8,2016-7-8,2,6
305,705,4,2016-7-7,2016-7-8,2016-7-8,2,7
306,424,4,2016-7-9,2016-7-10,2016-7-12,2,7
307,695,4,2016-7-9,2016-7-11,2016-7-11,2,6
308,156,4,2016-7-11,2016-7-12,2016-7-14,2,6
309,211,4,2016-7-11,2016-7-13,2016-7-13,2,6
310,627,4,2016-7-12,2016-7-13,2016-7-13,1,2
311,1400,4,2016-7-12,2016-7-14,2016-7-13,2,6
312,299,4,2016-7-13,2016-7-15,2016-7-16,2,6
313,565,4,2016-7-14,2016-7-15,2016-7-15,3,9
314,1019,4,2016-7-15,2016-7-17,2016-7-17,2,7
315,1263,4,2016-7-16,2016-7-19,2016-7-17,2,6
316,670,4,2016-7-17,2016-7-20,2016-7-19,2,7
317,795,4,2016-7-17,2016-7-20,2016-7-19,2,7
318,1141,4,2016-7-17,2016-7-19,2016-7-20,2,7
319,941,4,2016-7-18,2016-7-21,2016-7-21,2,6
320,1428,4,2016-7-19,2016-7-20,2016-7-21,1,2
321,568,4,2016-7-19,2016-7-22,2016-7-21,2,6
322,924,4,2016-7-19,2016-7-22,2016-7-20,2,6
323,1243,4,2016-7-19,2016-7-22,2016-7-21,2,6
324,480,4,2016-7-20,2016-7-22,2016-7-23,2,6
325,848,4,2016-7-20,2016-7-21,2016-7-21,2,6
326,1337,4,2016-7-20,2016-7-21,2016-7-22,3,9
327,83,4,2016-7-21,2016-7-24,2016-7-22,2,6
328,528,4,2016-7-23,2016-7-26,2016-7-25,2,6
329,274,4,2016-7-24,2016-7-27,2016-7-26,2,6
330,622,4,2016-7-24,2016-7-27,2016-7-27,2,6
