store_id,product_id,quantity
3,1,14
3,2,24
3,3,0
3,4,11
3,5,3
3,6,27
3,7,12
3,8,12
3,9,23
3,10,21
3,11,30
3,12,30
3,13,19
3,14,4
3,15,22
3,16,19
3,17,22
3,18,5
3,19,24
3,20,19
3,21,8
3,22,20
3,23,8
3,24,18
3,25,15
3,26,27
3,27,21
3,28,20
3,29,11
3,30,23
3,31,10
3,32,14
3,33,14
3,34,6
3,35,3
3,36,28
3,37,30
3,38,23
3,39,22
3,40,2
3,41,25
3,42,9
3,43,26
3,44,26
3,45,1
3,46,16
3,47,14
3,48,2
3,49,4
3,50,25
3,51,2
3,52,8
3,53,6
3,54,13
3,55,5
3,56,19
3,57,9
3,58,27
3,59,0
3,60,7
3,61,28
3,62,4
3,63,8
3,64,22
3,65,1
3,66,3
3,67,6
3,68,18
3,69,29
3,70,2
3,71,13
3,72,6
3,73,3
3,74,17
3,75,29
3,76,23
3,77,23
3,78,19
3,79,29
3,80,22
3,81,18
3,82,7
3,83,23
3,84,15
3,85,15
3,86,27
3,87,16
3,88,28
3,89,22
3,90,9
3,91,8
3,92,28
3,93,18
3,94,15
3,95,14
3,96,1
3,97,28
3,98,5
3,99,19
3,100,28
3,101,17
3,102,22
3,103,10
3,104,22
3,105,1
3,106,1
3,107,11
3,108,23
3,109,24
3,110,11
3,111,29
3,112,24
3,113,23
3,114,12
3,115,25
3,116,30
3,117,23
3,118,9
3,119,29
3,120,25
3,121,4
3,122,8
3,123,15
3,124,11
3,125,2
3,126,5
3,127,4
3,128,20
3,129,10
3,130,20
3,131,23
3,132,16
3,133,16
3,134,17
3,135,15
3,136,4
3,137,17
3,138,17
3,139,21
3,140,3
3,141,4
3,142,29
3,143,9
3,144,9
3,145,11
3,146,9
3,147,3
3,148,6
3,149,1
3,150,21
3,151,1
3,152,1
3,153,7
3,154,22
3,155,25
3,156,14
3,157,12
3,158,17
3,159,6
3,160,27
3,161,11
3,162,11
3,163,11
3,164,18
3,165,19
3,166,27
3,167,8
3,168,23
3,169,3
3,170,13
3,171,11
3,172,22
3,173,15
3,174,1
3,175,3
3,176,6
3,177,2
3,178,12
3,179,20
3,180,6
3,181,8
3,182,28
3,183,26
3,184,21
3,185,15
3,186,30
3,187,2
3,188,29
3,189,20
3,190,20
3,191,23
3,192,10
3,193,5
3,194,20
3,195,20
3,196,25
3,197,8
3,198,27
3,199,5
3,200,29
3,201,30
3,202,11
3,203,6
3,204,16
3,205,3
3,206,29
3,207,29
3,208,12
3,209,1
3,210,22
3,211,3
3,212,23
3,213,10
3,214,30
3,215,12
3,216,5
3,217,4
3,218,21
3,219,29
3,220,0
3,221,25
3,222,12
3,223,29
3,224,23
3,225,12
3,226,14
3,227,22
3,228,29
3,229,7
3,230,29
3,231,6
3,232,16
3,233,9
3,234,24
3,235,1
3,236,3
3,237,16
3,238,12
3,239,29
3,240,26
3,241,8
3,242,5
3,243,7
3,244,5
3,245,10
3,246,7
3,247,3
3,248,11
3,249,6
3,250,16
3,251,10
3,252,27
3,253,15
3,254,4
3,255,17
3,256,1
3,257,25
3,258,10
3,259,0
3,260,5
3,261,24
3,262,29
3,263,21
3,264,7
3,265,22
3,266,18
3,267,12
3,268,17
3,269,26
3,270,6
3,271,23
3,272,12
3,273,19
3,274,7
3,275,23
3,276,14
3,277,26
3,278,15
3,279,15
3,280,1
3,281,2
3,282,18
3,283,1
3,284,26
3,285,2
3,286,7
3,287,26
3,288,2
3,289,2
3,290,6
3,291,10
3,292,16
3,293,14
3,294,13
3,295,9
3,296,12
3,297,22
3,298,14
3,299,29
3,300,3
3,301,29
3,302,6
3,303,13
3,304,23
3,305,11
3,306,7
3,307,17
3,308,9
3,309,30
3,310,8
3,311,23
3,312,18
3,313,0
